Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
13982,Trine 2,PC,2011.0,Platform,Focus Home Interactive,0.0,0.03,0.0,0.01,0.04
4269,Gremlins,2600,1983.0,Action,Atari,0.43,0.03,0.0,0.0,0.46
5519,Battle Dodge Ball,SNES,1991.0,Sports,Banpresto,0.0,0.0,0.33,0.0,0.33
4476,TimeSplitters 2,GC,2002.0,Shooter,Eidos Interactive,0.34,0.09,0.0,0.01,0.44
13052,Sherlock Holmes: Crimes & Punishments,PC,2014.0,Adventure,Focus Home Interactive,0.0,0.05,0.0,0.0,0.05
10836,Barnyard,PS2,2006.0,Action,THQ,0.05,0.04,0.0,0.01,0.09
12997,Ultra Bust-A-Move,XB,2004.0,Puzzle,505 Games,0.04,0.01,0.0,0.0,0.05
2377,Spec Ops: Ranger Elite,PS,2001.0,Shooter,TalonSoft,0.49,0.33,0.0,0.06,0.87
15723,Arslan: The Warriors of Legend,XOne,2016.0,Action,Tecmo Koei,0.01,0.0,0.0,0.0,0.02
12924,Tour de France 2011,X360,,Racing,Focus Home Interactive,0.0,0.05,0.0,0.01,0.05
14523,Star Trek: Tactical Assault,PSP,2006.0,Strategy,Ubisoft,0.02,0.01,0.0,0.0,0.03
5893,Skylanders: SuperChargers,PS4,2015.0,Action,Activision,0.17,0.08,0.0,0.05,0.3
11752,Jikkyou Powerful Pro Yakyuu 2011 Ketteiban,PS3,2011.0,Sports,Konami Digital Entertainment,0.0,0.0,0.07,0.0,0.07
4230,MX vs. ATV Untamed,PS3,2007.0,Racing,THQ,0.35,0.06,0.0,0.05,0.46
12607,pro evolution soccer 2011,PC,2010.0,Sports,Konami Digital Entertainment,0.0,0.05,0.0,0.01,0.06
4595,All-Star Baseball 2004,PS2,2003.0,Sports,Acclaim Entertainment,0.21,0.16,0.0,0.05,0.42
5201,Assassin's Creed III,WiiU,2012.0,Action,Ubisoft,0.19,0.13,0.0,0.03,0.36
1607,The Witcher 3: Wild Hunt,XOne,2015.0,Role-Playing,Namco Bandai Games,0.66,0.47,0.0,0.11,1.24
6610,Secret Weapons Over Normandy,XB,2003.0,Simulation,LucasArts,0.19,0.05,0.0,0.01,0.25
10459,Exit DS,DS,2008.0,Puzzle,Square Enix,0.09,0.0,0.01,0.01,0.1
602,Sonic Adventure 2 Battle,GC,2001.0,Platform,Sega,1.7,0.59,0.21,0.07,2.56
11639,Daniel X: The Ultimate Power,DS,2010.0,Action,THQ,0.07,0.0,0.0,0.01,0.08
13036,Doraemon: Nobita no Kyouryuu 2006 DS,DS,2006.0,Role-Playing,Sega,0.0,0.0,0.05,0.0,0.05
6563,Army of Two: The Devil's Cartel,X360,2013.0,Shooter,Electronic Arts,0.16,0.07,0.0,0.02,0.26
5805,The Legend of Heroes: Trails of Cold Steel,PSV,2013.0,Role-Playing,Nippon Ichi Software,0.08,0.05,0.14,0.04,0.31
11097,Zoids Assault,X360,2007.0,Strategy,Takara Tomy,0.08,0.0,0.0,0.01,0.09
9749,Cars 2,PSP,2011.0,Racing,Disney Interactive Studios,0.1,0.01,0.0,0.01,0.12
13382,Intellivision Lives!,XB,2004.0,Misc,Crave Entertainment,0.03,0.01,0.0,0.0,0.05
8012,Indiana Jones and the Emperor's Tomb,XB,2003.0,Action,LucasArts,0.14,0.04,0.0,0.01,0.18
13626,Amagami,PSV,2014.0,Adventure,Kadokawa Games,0.0,0.0,0.04,0.0,0.04
10966,Dora's Big Birthday Adventure,DS,2010.0,Misc,Take-Two Interactive,0.08,0.01,0.0,0.01,0.09
11832,Pong / Asteroids / Yars' Revenge,GBA,2005.0,Misc,Zoo Digital Publishing,0.05,0.02,0.0,0.0,0.07
11238,Just Dance Wii U,WiiU,2014.0,Misc,Nintendo,0.0,0.0,0.09,0.0,0.09
6008,Starhawk,PS3,2012.0,Action,Sony Computer Entertainment,0.18,0.05,0.03,0.03,0.29
4118,NCAA Football 09,PS2,2008.0,Sports,Electronic Arts,0.4,0.02,0.0,0.07,0.48
234,Mario & Sonic at the Olympic Winter Games,Wii,2009.0,Sports,Sega,1.89,1.99,0.22,0.48,4.58
9737,Dragon Ball Z: Battle of Z,PSV,2014.0,Fighting,Namco Bandai Games,0.0,0.04,0.06,0.02,0.12
2463,The Incredibles,GC,2004.0,Action,THQ,0.65,0.17,0.0,0.02,0.84
7320,Steins;Gate,PSV,2013.0,Adventure,PQube,0.07,0.09,0.0,0.05,0.21
5988,NBA Street V3,GC,2005.0,Sports,Electronic Arts,0.23,0.06,0.0,0.01,0.29
3244,Vanquish,PS3,2010.0,Shooter,Sega,0.21,0.22,0.11,0.09,0.62
13260,American Chopper 2: Full Throttle,GC,2005.0,Racing,Activision,0.04,0.01,0.0,0.0,0.05
10569,KORG DS-10 Synthesizer Plus,DS,2009.0,Misc,AQ Interactive,0.08,0.0,0.02,0.01,0.1
11697,One Piece: Gear Spirit,DS,2007.0,Fighting,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08
3065,NHL 10,X360,2009.0,Sports,Electronic Arts,0.51,0.1,0.0,0.06,0.66
11259,Winter Sports 2: The Next Challenge,PS2,2008.0,Sports,Conspiracy Entertainment,0.04,0.03,0.0,0.01,0.08
12054,Higurashi no Naku Koro ni Matsuri: Kakera Asobi,PS2,2007.0,Adventure,Alchemist,0.0,0.0,0.07,0.0,0.07
125,FIFA 15,PS4,2014.0,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59
13995,NHL 16,PS3,2015.0,Sports,Electronic Arts,0.0,0.03,0.0,0.01,0.04
2137,Skylanders: Spyro's Adventure,X360,2011.0,Action,Activision,0.53,0.35,0.0,0.1,0.97
263,Batman: Arkham Asylum,PS3,2009.0,Action,Eidos Interactive,2.23,1.34,0.07,0.61,4.25
891,Tetris DX,GB,1998.0,Puzzle,Nintendo,1.06,0.6,0.2,0.07,1.93
16008,Sengoku Hime: Senran ni Mau Otometachi,PSP,2009.0,Adventure,Yeti,0.0,0.0,0.01,0.0,0.01
4929,SSX 3,XB,2003.0,Sports,Electronic Arts,0.29,0.08,0.0,0.01,0.39
14715,D1 Professional Drift Grand Prix Series,PS2,2005.0,Racing,Yuke's,0.01,0.01,0.0,0.0,0.03
15277,Taito Legends 2,PS2,2006.0,Misc,Empire Interactive,0.01,0.01,0.0,0.0,0.02
16361,Ishin Renka: Ryouma Gaiden,PSP,2010.0,Adventure,D3Publisher,0.0,0.0,0.01,0.0,0.01
13334,Hoshigami: Ruining Blue Earth,PS,2001.0,Role-Playing,Max Five,0.03,0.02,0.0,0.0,0.05
11758,Futurama,PS2,2003.0,Platform,SCi,0.04,0.03,0.0,0.01,0.07
12782,GunPey,PSP,2006.0,Puzzle,Atari,0.05,0.0,0.0,0.01,0.06
14554,Let's Dance with Mel B,PS3,2011.0,Sports,Black Bean Games,0.0,0.02,0.0,0.01,0.03
4574,Valkyrie Profile: Covenant of the Plume,DS,2008.0,Role-Playing,Square Enix,0.23,0.02,0.16,0.02,0.42
2315,James Bond 007: Agent Under Fire,XB,2002.0,Shooter,Electronic Arts,0.65,0.22,0.0,0.03,0.9
6082,I Spy: Spooky Mansion,Wii,2010.0,Puzzle,Storm City Games,0.27,0.0,0.0,0.02,0.29
10903,Etrian Odyssey 2 Untold: Knight of Fafnir,3DS,2014.0,Role-Playing,Atlus,0.07,0.02,0.0,0.01,0.09
9285,Nitrobike,Wii,2008.0,Racing,Ubisoft,0.11,0.01,0.0,0.01,0.14
960,DDRMAX2: Dance Dance Revolution,PS2,2003.0,Simulation,Konami Digital Entertainment,1.05,0.59,0.0,0.18,1.81
9035,Klonoa: Empire of Dreams,GBA,2001.0,Platform,Infogrames,0.1,0.04,0.0,0.0,0.14
6975,Star Wars: The Force Unleashed II,DS,2010.0,Action,LucasArts,0.18,0.04,0.0,0.02,0.23
7893,Hulk,GC,2003.0,Action,Universal Interactive,0.15,0.04,0.0,0.01,0.19
8832,Suzumiya Haruhi no Yakusoku,PSP,2007.0,Adventure,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15
8770,Wolfenstein: The Old Blood,XOne,2015.0,Action,Bethesda Softworks,0.07,0.07,0.0,0.01,0.15
11557,RoadKill,XB,2003.0,Action,Midway Games,0.06,0.02,0.0,0.0,0.08
13563,Starry ? Sky: After Spring,PSP,2009.0,Misc,Aqua Plus,0.0,0.0,0.04,0.0,0.04
14108,Onechanbara Z Kagura,PS3,2013.0,Action,D3Publisher,0.0,0.0,0.03,0.0,0.03
5649,Cartoon Network Collection: Game Boy Advance Video Platinum Edition,GBA,2005.0,Misc,,0.23,0.08,0.0,0.01,0.32
7589,Dead to Rights II,PS2,2005.0,Shooter,Electronic Arts,0.1,0.08,0.0,0.03,0.2
15976,Vitamin X: Detective B6,PSP,2012.0,Adventure,D3Publisher,0.0,0.0,0.02,0.0,0.02
7005,Looney Tunes: Acme Arsenal,Wii,2007.0,Action,Warner Bros. Interactive Entertainment,0.21,0.01,0.0,0.02,0.23
973,Midnight Club II,PS2,2003.0,Racing,Take-Two Interactive,1.25,0.29,0.0,0.24,1.78
9760,Voodoo Vince,XB,2003.0,Platform,Microsoft Game Studios,0.09,0.03,0.0,0.0,0.12
5153,Need for Speed: The Run,PC,2011.0,Action,Electronic Arts,0.09,0.21,0.0,0.07,0.37
5687,Catherine,X360,2011.0,Adventure,Deep Silver,0.2,0.06,0.03,0.02,0.32
3995,Madden NFL 11,PS2,2010.0,Sports,Electronic Arts,0.41,0.02,0.0,0.07,0.5
7698,Playboy: The Mansion,PS2,2005.0,Simulation,Ubisoft,0.1,0.08,0.0,0.03,0.2
9209,Agile Warrior F-111X,PS,1995.0,Simulation,Virgin Interactive,0.08,0.05,0.0,0.01,0.14
3551,RalliSport Challenge,XB,2002.0,Racing,Microsoft Game Studios,0.39,0.16,0.0,0.02,0.57
16012,Kimi no Yuusha,DS,2008.0,Role-Playing,SNK Playmore,0.0,0.0,0.01,0.0,0.01
12607,pro evolution soccer 2011,PC,2010.0,Sports,Konami Digital Entertainment,0.0,0.05,0.0,0.01,0.06
513,Skylanders: Spyro's Adventure,Wii,2011.0,Action,Activision,1.4,1.14,0.0,0.31,2.85
13836,SuperCar Challenge,PS3,2009.0,Racing,System 3 Arcade Software,0.0,0.03,0.0,0.01,0.04
14135,TOCA Race Driver 3,XB,2006.0,Racing,Codemasters,0.03,0.01,0.0,0.0,0.03
282,Half-Life,PC,1997.0,Shooter,Vivendi Games,4.03,0.0,0.09,0.0,4.12
3977,Madden NFL 07,Wii,2006.0,Sports,Electronic Arts,0.46,0.0,0.0,0.04,0.5
15489,Virtual Kasparov,GBA,2002.0,Strategy,Titus,0.01,0.01,0.0,0.0,0.02
6239,AC/DC LIVE: Rock Band Track Pack,Wii,2008.0,Misc,MTV Games,0.25,0.0,0.0,0.02,0.28
1766,Ninja Gaiden Sigma,PS3,2007.0,Action,Eidos Interactive,0.57,0.33,0.09,0.16,1.15
1719,Spore,PC,2008.0,Strategy,Electronic Arts,0.03,1.06,0.0,0.09,1.17
15115,Big Idea's VeggieTales: LarryBoy and the Bad Apple,PS2,2006.0,Action,Crave Entertainment,0.01,0.01,0.0,0.0,0.02
13343,SD Gundam G Generation World,Wii,2011.0,Strategy,Namco Bandai Games,0.0,0.0,0.05,0.0,0.05
5295,WWE Crush Hour,PS2,2003.0,Racing,THQ,0.17,0.13,0.0,0.04,0.35
11160,Star Wars: Empire at War,PC,2006.0,Strategy,LucasArts,0.01,0.06,0.0,0.02,0.09
12661,Hajime no Ippo Portable: Victorious Spirits,PSP,2007.0,Fighting,Grand Prix Games,0.0,0.0,0.06,0.0,0.06
5995,NBA Live 06,X360,2005.0,Sports,Electronic Arts,0.27,0.0,0.0,0.02,0.29
15780,Worms World Party,PC,2001.0,Strategy,Virgin Interactive,0.0,0.01,0.0,0.0,0.02
2404,Vagrant Story,PS,2000.0,Role-Playing,Crave Entertainment,0.3,0.2,0.3,0.06,0.87
13248,Putty Squad,PSV,2013.0,Platform,System 3,0.02,0.02,0.0,0.01,0.05
13454,Game no Kanzume Vol 1,SCD,1994.0,Misc,Sega,0.0,0.0,0.04,0.0,0.05
3161,Nicktoons Collection: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.46,0.17,0.0,0.01,0.64
7746,Metro: Last Light,PC,2013.0,Action,Deep Silver,0.06,0.11,0.0,0.02,0.19
10448,The Smurfs 2,Wii,2013.0,Platform,Ubisoft,0.0,0.09,0.0,0.01,0.1
15020,Fishdom 2 Deluxe,PC,2010.0,Puzzle,Rondomedia,0.0,0.02,0.0,0.01,0.02
15480,Heroes VS,PSP,2013.0,Fighting,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
2391,NFL GameDay '97,PS,1996.0,Sports,Sony Computer Entertainment,0.48,0.33,0.0,0.06,0.87
5553,NBA Live 96,PS,1996.0,Sports,Electronic Arts,0.16,0.11,0.04,0.02,0.33
665,Yu-Gi-Oh! The Duelists of the Roses,PS2,2001.0,Misc,Konami Digital Entertainment,1.16,0.91,0.0,0.3,2.38
1305,Triple Play 99,PS,,Sports,,0.81,0.55,0.0,0.1,1.46
8611,Time Hollow,DS,2008.0,Adventure,Konami Digital Entertainment,0.03,0.01,0.11,0.0,0.16
801,World of Warcraft: Cataclysm,PC,2010.0,Role-Playing,Activision,1.77,0.32,0.0,0.0,2.08
10854,The King of Fighters XIV,PS4,2016.0,Fighting,Deep Silver,0.04,0.01,0.03,0.01,0.09
3972,LEGO The Hobbit,X360,2014.0,Action,Warner Bros. Interactive Entertainment,0.2,0.26,0.0,0.04,0.5
3457,Rayman Origins,Wii,2011.0,Platform,Ubisoft,0.23,0.29,0.0,0.07,0.58
4839,Star Wars The Clone Wars: Republic Heroes,X360,2009.0,Action,LucasArts,0.18,0.17,0.0,0.04,0.4
16022,God Eater Off Shot: Soma Shikkuzaru-hen Twin Pack & Animation Vol.4,PS4,2016.0,Action,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01
11737,Wizardry: Llylgamyn Saga,PS,1998.0,Role-Playing,Locus,0.0,0.0,0.07,0.0,0.07
1728,Mega Man 3,NES,1990.0,Platform,Capcom,0.68,0.1,0.39,0.0,1.17
12251,Chrysler Classic Racing,Wii,2008.0,Racing,Zoo Games,0.06,0.0,0.0,0.0,0.06
14430,Summon Night 6: Lost Borders,PS4,2016.0,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
11511,Famicom Mini: SD Gundam World Gachapon Senshi - Scramble Wars,GBA,2004.0,Strategy,Nintendo,0.0,0.0,0.08,0.0,0.08
1842,Arc the Lad,PS,1995.0,Role-Playing,Sony Computer Entertainment,0.0,0.0,1.1,0.01,1.11
5607,Bigfoot: Collision Course,Wii,2008.0,Racing,Zoo Digital Publishing,0.3,0.0,0.0,0.02,0.32
2943,WWE 2K15,X360,2014.0,Sports,Take-Two Interactive,0.38,0.26,0.0,0.06,0.69
16237,Broken Sword 5: The Serpent's Curse,XOne,2015.0,Adventure,Revolution Software,0.0,0.01,0.0,0.0,0.01
3798,Tom Clancy's Ghost Recon Advanced Warfighter 2,PSP,2007.0,Shooter,Ubisoft,0.35,0.1,0.0,0.08,0.53
7787,Risen,X360,2009.0,Role-Playing,Deep Silver,0.07,0.11,0.0,0.01,0.19
11940,Tornado,DS,,Action,Ignition Entertainment,0.07,0.0,0.0,0.0,0.07
8278,Power Pro Kun Pocket,GB,1999.0,Sports,Konami Digital Entertainment,0.0,0.0,0.17,0.0,0.17
12028,Operation: Vietnam,DS,2007.0,Shooter,Majesco Entertainment,0.06,0.0,0.0,0.0,0.07
11022,Great Party Games,Wii,2010.0,Misc,O-Games,0.0,0.08,0.0,0.01,0.09
4002,Tony Hawk's Underground 2,GC,2004.0,Sports,Activision,0.38,0.1,0.0,0.01,0.5
4575,The Legend of Spyro: The Eternal Night,PS2,2007.0,Platform,Vivendi Games,0.21,0.16,0.0,0.05,0.42
4783,Disney Sing It! High School Musical 3: Senior Year,PS3,2008.0,Misc,Disney Interactive Studios,0.08,0.26,0.0,0.07,0.4
12172,X-Men: The Official Game,GBA,2006.0,Action,Activision,0.05,0.02,0.0,0.0,0.07
14978,"Ed, Edd n Eddy: The Mis-Edventures",XB,2005.0,Platform,Midway Games,0.02,0.01,0.0,0.0,0.02
8872,Rocky,XB,2002.0,Fighting,Rage Software,0.11,0.03,0.0,0.01,0.15
6311,Rhythm Thief & the Emperor's Treasure,3DS,2012.0,Misc,Sega,0.07,0.07,0.12,0.01,0.27
13781,Nobunaga's Ambition: Sphere of Influence,PS4,2014.0,Strategy,Tecmo Koei,0.03,0.0,0.0,0.01,0.04
15607,Aqua Panic!,DS,2009.0,Puzzle,Neko Entertainment,0.01,0.01,0.0,0.0,0.02
891,Tetris DX,GB,1998.0,Puzzle,Nintendo,1.06,0.6,0.2,0.07,1.93
8305,Hanjuku Eiyuu Tai 3D,PS2,2003.0,Role-Playing,Square Enix,0.0,0.0,0.17,0.0,0.17
4992,Cabela's Dangerous Hunts 2009,Wii,2008.0,Sports,Activision Value,0.36,0.0,0.0,0.03,0.38
1104,NBA Ballers,PS2,2004.0,Sports,Midway Games,0.81,0.63,0.0,0.21,1.66
3644,Legends of WrestleMania,PS3,2009.0,Fighting,THQ,0.3,0.17,0.0,0.07,0.55
9900,Hatsune Miku: Project Diva X,PSV,2016.0,Misc,Sega,0.01,0.0,0.1,0.0,0.12
9875,Onimusha: Blade Warriors,PS2,2003.0,Fighting,Capcom,0.06,0.05,0.0,0.02,0.12
14234,EverBlue 2,PS2,2002.0,Adventure,Capcom,0.02,0.01,0.0,0.0,0.03
3555,NHL 14,PS3,2013.0,Sports,Electronic Arts,0.28,0.19,0.0,0.09,0.57
1427,Burnout Paradise,X360,2008.0,Racing,Electronic Arts,0.63,0.58,0.01,0.15,1.36
6551,Karaoke Joysound Wii,Wii,2008.0,Misc,Hudson Soft,0.01,0.0,0.25,0.0,0.26
3074,Legend of Legaia,PS,1998.0,Role-Playing,Sony Computer Entertainment,0.37,0.25,0.0,0.04,0.66
357,Luigi's Mansion,GC,2001.0,Action,Nintendo,2.38,0.67,0.46,0.1,3.6
14404,Kiniro no Corda 3,PS2,2010.0,Adventure,Tecmo Koei,0.0,0.0,0.03,0.0,0.03
10774,Dead or Alive 5,PSV,2013.0,Fighting,Tecmo Koei,0.0,0.05,0.03,0.02,0.1
6586,NASCAR 09,PS3,2008.0,Racing,Electronic Arts,0.22,0.01,0.0,0.02,0.26
917,Hot Shots Golf 2,PS,1999.0,Sports,Sony Computer Entertainment,0.25,0.12,1.48,0.03,1.88
11401,Initial D: Extreme Stage,PS3,2008.0,Racing,Sega,0.0,0.0,0.08,0.0,0.08
7822,NBA Live 14,XOne,2013.0,Sports,Electronic Arts,0.16,0.02,0.0,0.01,0.19
6193,NFL Blitz 20-02,PS2,2002.0,Sports,Midway Games,0.14,0.11,0.0,0.04,0.28
9672,NHL 2K7,PS3,2006.0,Sports,Take-Two Interactive,0.11,0.0,0.0,0.01,0.12
15450,Germany's Next Topmodel 2011,Wii,2011.0,Simulation,7G//AMES,0.0,0.02,0.0,0.0,0.02
8124,SingStar Motown,PS3,2009.0,Misc,Sony Computer Entertainment,0.0,0.16,0.0,0.02,0.18
6240,My Japanese Coach,DS,2008.0,Misc,Ubisoft,0.25,0.0,0.0,0.02,0.28
8581,The Wild Thornberrys: Chimp Chase,GBA,2001.0,Action,THQ,0.11,0.04,0.0,0.0,0.16
3234,Wet,PS3,2009.0,Shooter,Bethesda Softworks,0.22,0.27,0.01,0.11,0.63
2669,Freedom Wars,PSV,2014.0,Role-Playing,Sony Computer Entertainment,0.22,0.14,0.32,0.1,0.77
14073,Planescape: Torment,PC,1998.0,Role-Playing,Interplay,0.01,0.02,0.0,0.01,0.04
1923,Red Dead Redemption: Undead Nightmare,X360,2010.0,Action,Take-Two Interactive,0.57,0.39,0.02,0.09,1.07
6576,"SpongeBob SquarePants: Lights, Camera, Pants!",XB,2005.0,Misc,THQ,0.19,0.06,0.0,0.01,0.26
1847,Lumines: Puzzle Fusion,PSP,2004.0,Puzzle,Ubisoft,0.52,0.35,0.0,0.23,1.11
15095,Kimi ga Aruji de Shitsuji ga Ore de: Oshie Nikki,PS2,2008.0,Adventure,Minato Station,0.0,0.0,0.02,0.0,0.02
15008,11eyes: CrossOver,X360,2009.0,Adventure,5pb,0.0,0.0,0.02,0.0,0.02
14951,Juusanshi Engi Engetsu Sangokuden 2,PSP,2014.0,Action,Idea Factory,0.0,0.0,0.02,0.0,0.02
4025,Tony Hawk's Underground 2,GBA,2004.0,Sports,Activision,0.35,0.13,0.0,0.01,0.49
16349,Dinotopia: The Sunstone Odyssey,XB,2003.0,Action,TDK Mediactive,0.01,0.0,0.0,0.0,0.01
16379,Super Bubble Pop,XB,2002.0,Puzzle,Jaleco,0.01,0.0,0.0,0.0,0.01
2011,Tom Clancy's Ghost Recon Advanced Warfighter 2,PS3,2007.0,Shooter,Ubisoft,0.34,0.48,0.02,0.19,1.04
13252,Far Cry,PC,2004.0,Shooter,Ubisoft,0.0,0.04,0.0,0.01,0.05
